Panelist,Genotype_Original,genotype,Unique_ID,rank,Moisture,Friability,FGME,Color,bG,SP,TP,KI,FAN,DP,aA
100,Rank_161_120.17,120.17,100_120.17,2,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
101,Rank_161_120.17,120.17,101_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
102,Rank_161_120.17,120.17,102_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
103,Rank_161_120.17,120.17,103_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
104,Rank_161_120.17,120.17,104_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
105,Rank_161_120.17,120.17,105_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
106,Rank_161_120.17,120.17,106_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
107,Rank_161_120.17,120.17,107_120.17,4,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
108,Rank_161_120.17,120.17,108_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
109,Rank_161_120.17,120.17,109_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
110,Rank_161_120.17,120.17,110_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
111,Rank_161_120.17,120.17,111_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
112,Rank_161_120.17,120.17,112_120.17,2,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
114,Rank_161_120.17,120.17,114_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
115,Rank_161_120.17,120.17,115_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
116,Rank_161_120.17,120.17,116_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
117,Rank_161_120.17,120.17,117_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
118,Rank_161_120.17,120.17,118_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
119,Rank_161_120.17,120.17,119_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
120,Rank_161_120.17,120.17,120_120.17,4,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
121,Rank_161_120.17,120.17,121_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
122,Rank_161_120.17,120.17,122_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
123,Rank_161_120.17,120.17,123_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
124,Rank_161_120.17,120.17,124_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
125,Rank_161_120.17,120.17,125_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
126,Rank_161_120.17,120.17,126_120.17,2,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
127,Rank_161_120.17,120.17,127_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
128,Rank_161_120.17,120.17,128_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
129,Rank_161_120.17,120.17,129_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
130,Rank_161_120.17,120.17,130_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
131,Rank_161_120.17,120.17,131_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
133,Rank_161_120.17,120.17,133_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
134,Rank_161_120.17,120.17,134_120.17,2,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
135,Rank_161_120.17,120.17,135_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
